"id","cve","t","valor","m","id2","DesGeo"
"i21",0,2014,20,4,"a","N"
"i21",0,2014,33,4,"a","N"
"i21",0,2014,54,4,"a","N"
"i21",0,2015,52,1,"a","N"
"i21",0,2015,67,1,"a","N"
"i21",0,2015,84,1,"a","N"
"i21",0,2015,96,2,"a","N"
"i21",0,2015,154,2,"a","N"
"i21",0,2015,117,2,"a","N"
"i21",0,2015,133,3,"a","N"
"i21",0,2015,116,3,"a","N"
"i21",0,2015,109,4,"a","N"
"i21",0,2015,155,4,"a","N"
"i21",0,2015,248,4,"a","N"
"i21",0,2015,78,4,"a","N"
"i21",0,2014,6,4,"b","N"
"i21",0,2014,11,4,"c","N"
"i21",0,2014,3,4,"d","N"
"i21",0,2014,6,4,"b","N"
"i21",0,2014,16,4,"c","N"
"i21",0,2014,6,4,"d","N"
"i21",0,2014,5,4,"e","N"
"i21",0,2014,9,4,"b","N"
"i21",0,2014,18,4,"c","N"
"i21",0,2014,16,4,"d","N"
"i21",0,2014,11,4,"e","N"
"i21",0,2015,10,1,"b","N"
"i21",0,2015,1,1,"f","N"
"i21",0,2015,21,1,"c","N"
"i21",0,2015,15,1,"d","N"
"i21",0,2015,5,1,"e","N"
"i21",0,2015,16,1,"b","N"
"i21",0,2015,3,1,"f","N"
"i21",0,2015,24,1,"c","N"
"i21",0,2015,17,1,"d","N"
"i21",0,2015,7,1,"e","N"
"i21",0,2015,14,1,"b","N"
"i21",0,2015,2,1,"f","N"
"i21",0,2015,30,1,"c","N"
"i21",0,2015,22,1,"d","N"
"i21",0,2015,16,1,"e","N"
"i21",0,2015,1,2,"g","N"
"i21",0,2015,16,2,"b","N"
"i21",0,2015,4,2,"f","N"
"i21",0,2015,29,2,"c","N"
"i21",0,2015,32,2,"d","N"
"i21",0,2015,14,2,"e","N"
"i21",0,2015,18,2,"b","N"
"i21",0,2015,14,2,"f","N"
"i21",0,2015,55,2,"c","N"
"i21",0,2015,26,2,"d","N"
"i21",0,2015,41,2,"e","N"
"i21",0,2015,29,2,"b","N"
"i21",0,2015,17,2,"f","N"
"i21",0,2015,30,2,"c","N"
"i21",0,2015,14,2,"d","N"
"i21",0,2015,27,2,"e","N"
"i21",0,2015,35,3,"b","N"
"i21",0,2015,14,3,"f","N"
"i21",0,2015,42,3,"c","N"
"i21",0,2015,26,3,"d","N"
"i21",0,2015,16,3,"e","N"
"i21",0,2015,27,3,"b","N"
"i21",0,2015,36,3,"f","N"
"i21",0,2015,31,3,"c","N"
"i21",0,2015,12,3,"d","N"
"i21",0,2015,10,3,"e","N"
"i21",0,2015,23,4,"b","N"
"i21",0,2015,22,4,"f","N"
"i21",0,2015,33,4,"c","N"
"i21",0,2015,18,4,"d","N"
"i21",0,2015,13,4,"e","N"
"i21",0,2015,29,4,"b","N"
"i21",0,2015,37,4,"f","N"
"i21",0,2015,38,4,"c","N"
"i21",0,2015,27,4,"d","N"
"i21",0,2015,24,4,"e","N"
"i21",0,2015,1,4,"g","N"
"i21",0,2015,29,4,"b","N"
"i21",0,2015,47,4,"f","N"
"i21",0,2015,65,4,"c","N"
"i21",0,2015,51,4,"d","N"
"i21",0,2015,55,4,"e","N"
"i21",0,2015,9,4,"b","N"
"i21",0,2015,17,4,"f","N"
"i21",0,2015,17,4,"c","N"
"i21",0,2015,14,4,"d","N"
"i21",0,2015,21,4,"e","N"
"i22",0,2014,7,4,"a","N"
"i22",0,2014,10,4,"a","N"
"i22",0,2014,22,4,"a","N"
"i22",0,2015,21,1,"a","N"
