Año,Trimestre,Indicador,Categoria,Estado,Valor,Agregacion
2012,2,i311,a,0,0,N
2012,2,i311,a,0,0,N
2012,2,i311,b,0,0,N
2012,2,i311,b,0,0,N
2012,2,i311,c,0,0,N
2012,2,i311,c,0,0,N
2012,2,i311,d,0,0,N
2012,2,i311,d,0,0,N
2012,2,i311,e,0,0,N
2012,2,i311,e,0,0,N
2012,2,i311,f,0,0,N
2012,2,i311,f,0,0,N
2012,2,i311,g,0,0,N
2012,2,i311,g,0,0,N
2012,2,i31,a,0,0,N
2012,2,i31,b,0,0,N
2012,2,i31,c,0,0,N
2012,2,i31,d,0,0,N
2012,2,i31,e,0,0,N
2012,2,i31,f,0,0,N
2012,2,i31,g,0,0,N
2012,3,i311,a,0,0,N
2012,3,i311,a,0,0,N
2012,3,i311,b,0,0,N
2012,3,i311,b,0,0,N
2012,3,i311,c,0,0,N
2012,3,i311,c,0,0,N
2012,3,i311,d,0,0,N
2012,3,i311,d,0,0,N
2012,3,i311,e,0,0,N
2012,3,i311,e,0,0,N
2012,3,i311,f,0,0,N
2012,3,i311,f,0,0,N
2012,3,i311,g,0,0,N
2012,3,i311,g,0,0,N
2012,3,i31,a,0,0,N
2012,3,i31,b,0,0,N
2012,3,i31,c,0,0,N
2012,3,i31,d,0,0,N
2012,3,i31,e,0,0,N
2012,3,i31,f,0,0,N
2012,3,i31,g,0,0,N
2012,4,i311,a,0,0,N
2012,4,i311,a,0,0,N
2012,4,i311,b,0,0,N
2012,4,i311,b,0,0,N
2012,4,i311,c,0,0,N
2012,4,i311,c,0,0,N
2012,4,i311,d,0,0,N
2012,4,i311,d,0,0,N
2012,4,i311,e,0,0,N
2012,4,i311,e,0,0,N
2012,4,i311,f,0,0,N
2012,4,i311,f,0,0,N
2012,4,i311,g,0,0,N
2012,4,i311,g,0,0,N
2012,4,i31,a,0,0,N
2012,4,i31,b,0,0,N
2012,4,i31,c,0,0,N
2012,4,i31,d,0,0,N
2012,4,i31,e,0,0,N
2012,4,i31,f,0,0,N
2012,4,i31,g,0,0,N
2013,1,i311,a,0,0,N
2013,1,i311,a,0,0,N
2013,1,i311,b,0,0,N
2013,1,i311,b,0,0,N
2013,1,i311,c,0,0,N
2013,1,i311,c,0,0,N
2013,1,i311,d,0,0,N
2013,1,i311,d,0,0,N
2013,1,i311,e,0,0,N
2013,1,i311,e,0,0,N
2013,1,i311,f,0,0,N
2013,1,i311,f,0,0,N
2013,1,i311,g,0,0,N
2013,1,i311,g,0,0,N
2013,1,i31,a,0,0,N
2013,1,i31,b,0,0,N
2013,1,i31,c,0,0,N
2013,1,i31,d,0,0,N
2013,1,i31,e,0,0,N
2013,1,i31,f,0,0,N
2013,1,i31,g,0,0,N
2013,2,i311,a,0,0,N
2013,2,i311,a,0,0,N
2013,2,i311,b,0,0,N
2013,2,i311,b,0,0,N
2013,2,i311,c,0,0,N
2013,2,i311,c,0,0,N
2013,2,i311,d,0,0,N
2013,2,i311,d,0,0,N
2013,2,i311,e,0,0,N
2013,2,i311,e,0,0,N
2013,2,i311,f,0,0,N
2013,2,i311,f,0,0,N
2013,2,i311,g,0,0,N
2013,2,i311,g,0,0,N
2013,2,i31,a,0,0,N
2013,2,i31,b,0,0,N
2013,2,i31,c,0,0,N
2013,2,i31,d,0,0,N
2013,2,i31,e,0,0,N
2013,2,i31,f,0,0,N
2013,2,i31,g,0,0,N
2013,3,i311,a,0,0,N
2013,3,i311,a,0,0,N
2013,3,i311,b,0,0,N
2013,3,i311,b,0,0,N
2013,3,i311,c,0,0,N
2013,3,i311,c,0,0,N
2013,3,i311,d,0,0,N
2013,3,i311,d,0,0,N
2013,3,i311,e,0,0,N
2013,3,i311,e,0,0,N
2013,3,i311,f,0,0,N
2013,3,i311,f,0,0,N
2013,3,i311,g,0,0,N
2013,3,i311,g,0,0,N
2013,3,i31,a,0,0,N
2013,3,i31,b,0,0,N
2013,3,i31,c,0,0,N
2013,3,i31,d,0,0,N
2013,3,i31,e,0,0,N
2013,3,i31,f,0,0,N
2013,3,i31,g,0,0,N
2013,4,i311,a,0,0,N
2013,4,i311,a,0,0,N
2013,4,i311,b,0,0,N
2013,4,i311,b,0,0,N
2013,4,i311,c,0,0,N
2013,4,i311,c,0,0,N
2013,4,i311,d,0,0,N
2013,4,i311,d,0,0,N
2013,4,i311,e,0,0,N
2013,4,i311,e,0,0,N
2013,4,i311,f,0,0,N
2013,4,i311,f,0,0,N
2013,4,i311,g,0,0,N
2013,4,i311,g,0,0,N
2013,4,i31,a,0,0,N
2013,4,i31,b,0,0,N
2013,4,i31,c,0,0,N
2013,4,i31,d,0,0,N
2013,4,i31,e,0,0,N
2013,4,i31,f,0,0,N
2013,4,i31,g,0,0,N
2014,1,i311,a,0,0,N
2014,1,i311,a,0,0,N
2014,1,i311,b,0,0,N
2014,1,i311,b,0,0,N
2014,1,i311,c,0,0,N
2014,1,i311,c,0,0,N
2014,1,i311,d,0,0,N
2014,1,i311,d,0,0,N
2014,1,i311,e,0,0,N
2014,1,i311,e,0,0,N
2014,1,i311,f,0,0,N
2014,1,i311,f,0,0,N
2014,1,i311,g,0,0,N
2014,1,i311,g,0,0,N
2014,1,i31,a,0,0,N
2014,1,i31,b,0,0,N
2014,1,i31,c,0,0,N
2014,1,i31,d,0,0,N
2014,1,i31,e,0,0,N
2014,1,i31,f,0,0,N
2014,1,i31,g,0,0,N
2014,2,i311,a,0,0,N
2014,2,i311,a,0,0,N
2014,2,i311,b,0,0,N
2014,2,i311,b,0,0,N
2014,2,i311,c,0,0,N
2014,2,i311,c,0,0,N
2014,2,i311,d,0,0,N
2014,2,i311,d,0,0,N
2014,2,i311,e,0,0,N
2014,2,i311,e,0,0,N
2014,2,i311,f,0,0,N
2014,2,i311,f,0,0,N
2014,2,i311,g,0,0,N
2014,2,i311,g,0,0,N
2014,2,i31,a,0,0,N
2014,2,i31,b,0,0,N
2014,2,i31,c,0,0,N
2014,2,i31,d,0,0,N
2014,2,i31,e,0,0,N
2014,2,i31,f,0,0,N
2014,2,i31,g,0,0,N
2014,3,i311,a,0,0,N
2014,3,i311,a,0,0,N
2014,3,i311,b,0,0,N
2014,3,i311,b,0,0,N
2014,3,i311,c,0,0,N
2014,3,i311,c,0,0,N
2014,3,i311,d,0,0,N
2014,3,i311,d,0,0,N
2014,3,i311,e,0,0,N
2014,3,i311,e,0,0,N
2014,3,i311,f,0,0,N
2014,3,i311,f,0,0,N
2014,3,i311,g,0,0,N
2014,3,i311,g,0,0,N
2014,3,i31,a,0,0,N
2014,3,i31,b,0,0,N
2014,3,i31,c,0,0,N
2014,3,i31,d,0,0,N
2014,3,i31,e,0,0,N
2014,3,i31,f,0,0,N
2014,3,i31,g,0,0,N
2014,4,i311,a,0,0,N
2014,4,i311,a,0,0,N
2014,4,i311,b,0,0,N
2014,4,i311,b,0,0,N
2014,4,i311,c,0,0,N
2014,4,i311,c,0,0,N
2014,4,i311,d,0,0,N
2014,4,i311,d,0,0,N
2014,4,i311,e,0,0,N
2014,4,i311,e,0,0,N
2014,4,i311,f,0,0,N
2014,4,i311,f,0,0,N
2014,4,i311,g,0,0,N
2014,4,i311,g,0,0,N
2014,4,i31,a,0,0,N
2014,4,i31,b,0,0,N
2014,4,i31,c,0,0,N
2014,4,i31,d,0,0,N
2014,4,i31,e,0,0,N
2014,4,i31,f,0,0,N
2014,4,i31,g,0,0,N
2015,1,i311,a,0,0,N
2015,1,i311,a,0,0,N
2015,1,i311,b,0,0,N
2015,1,i311,b,0,0,N
2015,1,i311,c,0,0,N
2015,1,i311,c,0,0,N
2015,1,i311,d,0,0,N
2015,1,i311,d,0,0,N
2015,1,i311,e,0,0,N
2015,1,i311,e,0,0,N
2015,1,i311,f,0,0,N
2015,1,i311,f,0,0,N
2015,1,i311,g,0,0,N
2015,1,i311,g,0,0,N
2015,1,i31,a,0,0,N
2015,1,i31,b,0,0,N
2015,1,i31,c,0,0,N
2015,1,i31,d,0,0,N
2015,1,i31,e,0,0,N
2015,1,i31,f,0,0,N
2015,1,i31,g,0,0,N
2015,2,i311,a,0,0,N
2015,2,i311,a,0,0,N
2015,2,i311,b,0,0,N
2015,2,i311,b,0,0,N
2015,2,i311,c,0,0,N
2015,2,i311,c,0,0,N
2015,2,i311,d,0,0,N
2015,2,i311,d,0,0,N
2015,2,i311,e,0,0,N
2015,2,i311,e,0,0,N
2015,2,i311,f,0,0,N
2015,2,i311,f,0,0,N
2015,2,i311,g,0,0,N
2015,2,i311,g,0,0,N
2015,2,i31,a,0,0,N
2015,2,i31,b,0,0,N
2015,2,i31,c,0,0,N
2015,2,i31,d,0,0,N
2015,2,i31,e,0,0,N
2015,2,i31,f,0,0,N
2015,2,i31,g,0,0,N
2015,3,i311,a,0,0,N
2015,3,i311,a,0,0,N
2015,3,i311,b,0,0,N
2015,3,i311,b,0,0,N
