"t","m","id","id2","cve","valor","DesGeo"
2012,2,"i11","a","0",1,"N"
2012,3,"i11","a","0",5,"N"
2012,4,"i11","a","0",13,"N"
2013,1,"i11","a","0",19,"N"
2013,2,"i11","a","0",28,"N"
2013,3,"i11","a","0",25,"N"
2013,4,"i11","a","0",46,"N"
2014,1,"i11","a","0",74,"N"
2014,2,"i11","a","0",73,"N"
2014,3,"i11","a","0",64,"N"
2014,4,"i11","a","0",102,"N"
2015,1,"i11","a","0",93,"N"
2015,2,"i11","a","0",126,"N"
2015,3,"i11","a","0",95,"N"
2015,4,"i11","a","0",172,"N"
2016,1,"i11","a","0",146,"N"
2016,2,"i11","a","0",133,"N"
2016,3,"i11","a","0",27,"N"
2016,4,"i11","a","0",0,"N"
2012,2,"i11","a","10",0,"E"
2012,3,"i11","a","10",0,"E"
2012,4,"i11","a","10",0,"E"
2013,1,"i11","a","10",0,"E"
2013,2,"i11","a","10",0,"E"
2013,3,"i11","a","10",0,"E"
2013,4,"i11","a","10",0,"E"
2014,1,"i11","a","10",1,"E"
2014,2,"i11","a","10",0,"E"
2014,3,"i11","a","10",0,"E"
2014,4,"i11","a","10",0,"E"
2015,1,"i11","a","10",1,"E"
2015,2,"i11","a","10",0,"E"
2015,3,"i11","a","10",0,"E"
2015,4,"i11","a","10",0,"E"
2016,1,"i11","a","10",0,"E"
2016,2,"i11","a","10",0,"E"
2016,3,"i11","a","10",0,"E"
2016,4,"i11","a","10",0,"E"
2012,2,"i11","a","11",0,"E"
2012,3,"i11","a","11",0,"E"
2012,4,"i11","a","11",0,"E"
2013,1,"i11","a","11",0,"E"
2013,2,"i11","a","11",0,"E"
2013,3,"i11","a","11",0,"E"
2013,4,"i11","a","11",0,"E"
2014,1,"i11","a","11",0,"E"
2014,2,"i11","a","11",0,"E"
2014,3,"i11","a","11",0,"E"
2014,4,"i11","a","11",0,"E"
2015,1,"i11","a","11",0,"E"
2015,2,"i11","a","11",0,"E"
2015,3,"i11","a","11",0,"E"
2015,4,"i11","a","11",1,"E"
2016,1,"i11","a","11",1,"E"
2016,2,"i11","a","11",0,"E"
2016,3,"i11","a","11",0,"E"
2016,4,"i11","a","11",0,"E"
2012,2,"i11","a","12",0,"E"
2012,3,"i11","a","12",0,"E"
2012,4,"i11","a","12",0,"E"
2013,1,"i11","a","12",0,"E"
2013,2,"i11","a","12",0,"E"
2013,3,"i11","a","12",0,"E"
2013,4,"i11","a","12",0,"E"
2014,1,"i11","a","12",0,"E"
2014,2,"i11","a","12",0,"E"
2014,3,"i11","a","12",0,"E"
2014,4,"i11","a","12",0,"E"
2015,1,"i11","a","12",0,"E"
2015,2,"i11","a","12",0,"E"
2015,3,"i11","a","12",0,"E"
2015,4,"i11","a","12",0,"E"
2016,1,"i11","a","12",0,"E"
2016,2,"i11","a","12",1,"E"
2016,3,"i11","a","12",0,"E"
2016,4,"i11","a","12",0,"E"
2012,2,"i11","a","14",0,"E"
2012,3,"i11","a","14",0,"E"
2012,4,"i11","a","14",0,"E"
2013,1,"i11","a","14",1,"E"
2013,2,"i11","a","14",0,"E"
2013,3,"i11","a","14",0,"E"
2013,4,"i11","a","14",1,"E"
2014,1,"i11","a","14",0,"E"
2014,2,"i11","a","14",0,"E"
2014,3,"i11","a","14",1,"E"
2014,4,"i11","a","14",0,"E"
2015,1,"i11","a","14",0,"E"
2015,2,"i11","a","14",3,"E"
2015,3,"i11","a","14",1,"E"
2015,4,"i11","a","14",3,"E"
2016,1,"i11","a","14",1,"E"
2016,2,"i11","a","14",3,"E"
2016,3,"i11","a","14",0,"E"
2016,4,"i11","a","14",0,"E"
2012,2,"i11","a","15",0,"E"
2012,3,"i11","a","15",0,"E"
2012,4,"i11","a","15",0,"E"
2013,1,"i11","a","15",1,"E"
2013,2,"i11","a","15",1,"E"
2013,3,"i11","a","15",0,"E"
2013,4,"i11","a","15",1,"E"
2014,1,"i11","a","15",0,"E"
2014,2,"i11","a","15",3,"E"
2014,3,"i11","a","15",1,"E"
2014,4,"i11","a","15",0,"E"
2015,1,"i11","a","15",2,"E"
2015,2,"i11","a","15",4,"E"
2015,3,"i11","a","15",5,"E"
2015,4,"i11","a","15",3,"E"
2016,1,"i11","a","15",5,"E"
2016,2,"i11","a","15",2,"E"
2016,3,"i11","a","15",1,"E"
2016,4,"i11","a","15",0,"E"
2012,2,"i11","a","16",0,"E"
2012,3,"i11","a","16",0,"E"
2012,4,"i11","a","16",0,"E"
2013,1,"i11","a","16",0,"E"
2013,2,"i11","a","16",0,"E"
2013,3,"i11","a","16",0,"E"
2013,4,"i11","a","16",0,"E"
2014,1,"i11","a","16",0,"E"
2014,2,"i11","a","16",1,"E"
